geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
1392,en,AS,Asia,IR,Iran,02,Māzandarān,,,Shahr,,Asia/Tehran,0
2960,en,AS,Asia,SY,Syria,HM,"Hama Governorate",,,"`Ayn Halaqim",,Asia/Damascus,0
